emoji,answer
🐶⌚,watchdog
💌,loveletter
🌍🏆,worldcup
🔥🛁,hottub
🧠⚡,brainstorm
🥶🧊,coldasice
🐈🛏,catnap
🐴💭,horsethought
🐄🥛,cowmilk
🌙🦉,nightowl
🕷️🧔,spiderman
❤️✉️,loveletter
🍎🥧,applepie
🐶🚔,pawpatrol
🔥🦊,firefox
🌙🌡️,nightfever
🍯🌙,honeymoon
🐰🕳️,rathole
🌶️🐕,hotdog
🌙🚶,moonwalk
🍯🐻,honeybear
🦇👨,batman
🍔👑,burgerking
🐷🏦,piggybank
🙂📘,facebook
🐱💤,catnap
🐝➡️🔙,berightback
👁️4️⃣👁️,eyeforaneye
⚡️🔙,flashback
🇫🇷🍞,frenchtoast
⭐🐟,starfish
1️⃣🔵🌙,onceinabluemoon
🪑⬆️,cheerup
⭐️💵,starbucks
🌎🥤,worldcup
🏠🍭🏠,homesweethome
🧸🐻,teddybear
👋☀️,bison
🚪🚶,doorstep
👱‍♂️👱‍♂️>👱‍♂️,twoheadsarebetterthanone
